CPU 4 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,0.0,0.0,0.0,100.0,0.0
2025-01-20 08:00:32,13.1,0.2,1.5,85.2,0.0
2025-01-20 08:01:02,1.6,0.1,1.1,97.1,0.0
2025-01-20 08:01:32,6.5,0.3,0.0,93.2,0.0
2025-01-20 08:02:02,1.4,0.1,1.0,97.5,0.0
2025-01-20 08:02:33,27.3,0.1,0.0,72.6,0.0
2025-01-20 08:03:03,16.2,0.2,1.4,82.2,0.0
2025-01-20 08:03:33,1.3,0.2,1.0,97.5,0.0
2025-01-20 08:04:03,1.7,0.5,2.7,95.1,0.0
2025-01-20 08:04:33,1.2,0.3,1.9,96.6,0.0
2025-01-20 08:05:03,12.0,0.2,0.5,87.4,0.0
2025-01-20 08:05:33,0.9,0.2,1.0,97.9,0.0
2025-01-20 08:06:03,3.6,0.6,2.5,93.3,0.0
2025-01-20 08:06:33,1.1,0.4,1.9,96.5,0.0
2025-01-20 08:07:03,2.1,0.2,0.5,97.2,0.0
2025-01-20 08:07:33,4.4,0.3,2.2,93.1,0.0
2025-01-20 08:08:03,2.6,0.3,1.0,96.0,0.0
2025-01-20 08:08:33,4.1,0.5,3.0,92.3,0.0
2025-01-20 08:09:03,1.5,0.5,2.1,95.9,0.0
2025-01-20 08:09:33,0.9,0.1,0.1,99.0,0.0
2025-01-20 08:10:03,11.5,0.2,0.3,88.1,0.0
2025-01-20 08:10:33,1.8,0.5,2.6,95.1,0.0
2025-01-20 08:11:03,1.1,0.3,1.1,97.5,0.0
2025-01-20 08:11:33,1.1,0.5,2.2,96.2,0.0
2025-01-20 08:12:03,0.8,0.4,1.1,97.7,0.0
2025-01-20 08:12:33,11.4,0.2,0.8,87.6,0.0
2025-01-20 08:13:03,1.1,0.3,1.2,97.4,0.0
2025-01-20 08:13:33,0.9,0.3,1.6,97.2,0.0
2025-01-20 08:14:03,2.4,0.4,1.8,95.4,0.0
2025-01-20 08:14:33,1.2,0.3,1.5,97.1,0.0
2025-01-20 08:15:03,2.8,0.5,3.5,93.2,0.0
2025-01-20 08:15:33,1.1,0.2,1.4,97.3,0.0
2025-01-20 08:16:03,1.9,0.3,1.2,96.6,0.0
2025-01-20 08:16:33,2.5,0.3,1.9,95.4,0.0
2025-01-20 08:17:03,8.1,0.8,3.2,87.9,0.0
2025-01-20 08:17:33,10.1,0.2,1.0,88.7,0.0
2025-01-20 08:18:03,0.7,0.3,1.3,97.7,0.0
2025-01-20 08:18:33,0.2,0.2,0.2,99.4,0.0
2025-01-20 08:19:03,0.4,0.3,0.9,98.4,0.0
2025-01-20 08:19:33,1.8,0.4,2.5,95.3,0.0
2025-01-20 08:20:03,5.6,0.3,2.7,91.4,0.0
2025-01-20 08:20:33,0.7,0.3,1.7,97.3,0.0
2025-01-20 08:21:03,0.9,0.3,1.5,97.3,0.0
2025-01-20 08:21:33,2.0,0.2,0.7,97.1,0.0
2025-01-20 08:22:03,10.8,0.1,0.8,88.3,0.0
2025-01-20 08:22:33,1.7,0.5,2.4,95.3,0.0
2025-01-20 08:23:03,1.1,0.2,1.0,97.6,0.0
2025-01-20 08:23:33,8.9,0.3,2.0,88.7,0.0
2025-01-20 08:24:03,0.7,0.2,0.8,98.2,0.0
2025-01-20 08:24:33,0.7,0.2,1.1,98.1,0.0
2025-01-20 08:25:03,5.2,0.2,0.9,93.7,0.0
2025-01-20 08:25:33,1.1,0.2,1.3,97.3,0.0
2025-01-20 08:26:03,8.1,0.2,0.5,91.2,0.0
2025-01-20 08:26:33,0.8,0.3,1.1,97.8,0.0
2025-01-20 08:27:03,1.7,0.4,1.8,96.0,0.0
2025-01-20 08:27:33,1.0,0.3,1.9,96.8,0.0
2025-01-20 08:28:03,2.9,0.3,1.4,95.4,0.0
2025-01-20 08:28:33,5.4,0.5,1.4,92.7,0.0
2025-01-20 08:29:03,1.4,0.3,1.5,96.8,0.0
2025-01-20 08:29:33,2.4,0.3,2.5,94.8,0.0
2025-01-20 08:30:03,3.9,0.3,1.8,94.0,0.0
2025-01-20 08:30:33,1.2,0.2,1.5,97.1,0.0
2025-01-20 08:31:03,4.6,0.2,1.9,93.3,0.0
2025-01-20 08:31:33,1.6,0.4,2.5,95.4,0.0
2025-01-20 08:32:02,15.9,0.4,1.9,81.8,0.0
2025-01-20 08:32:32,2.6,0.3,4.2,92.8,0.0
2025-01-20 08:33:02,2.5,0.3,2.0,95.2,0.0
2025-01-20 08:33:33,23.2,0.5,0.8,75.6,0.0
2025-01-20 08:34:03,19.8,0.4,0.6,79.2,0.0
2025-01-20 08:34:33,2.5,0.4,1.4,95.7,0.0
2025-01-20 08:35:03,1.2,0.4,2.6,95.8,0.0
2025-01-20 08:35:33,4.2,0.4,4.4,90.9,0.0
2025-01-20 08:36:03,18.0,0.2,1.7,80.1,0.0
2025-01-20 08:36:33,9.3,0.5,1.8,88.5,0.0
2025-01-20 08:37:03,0.3,0.3,1.1,98.3,0.0
2025-01-20 08:37:33,14.0,0.2,1.8,84.0,0.0
2025-01-20 08:38:03,5.0,0.3,2.8,91.9,0.0
2025-01-20 08:38:33,2.4,0.3,2.9,94.4,0.0
2025-01-20 08:39:03,1.6,0.3,2.1,96.0,0.0
2025-01-20 08:39:33,10.4,0.7,2.2,86.8,0.0
2025-01-20 08:40:03,1.6,0.2,1.0,97.2,0.0
2025-01-20 08:40:33,1.2,0.2,0.7,97.9,0.0
2025-01-20 08:41:03,7.0,0.6,2.3,90.0,0.0
2025-01-20 08:41:33,3.0,0.4,2.3,94.4,0.0
2025-01-20 08:42:03,4.4,0.3,2.2,93.1,0.0
2025-01-20 08:42:33,5.7,0.5,4.8,89.0,0.0
2025-01-20 08:43:03,3.1,0.4,3.0,93.4,0.0
2025-01-20 08:43:33,0.7,0.5,1.4,97.4,0.0
2025-01-20 08:44:03,2.2,0.4,2.3,95.1,0.0
2025-01-20 08:44:33,5.5,0.4,4.1,90.0,0.0
2025-01-20 08:45:03,2.5,0.4,2.7,94.3,0.0
2025-01-20 08:45:33,3.0,0.5,3.6,92.9,0.0
2025-01-20 08:46:03,8.3,0.8,2.6,88.3,0.0
2025-01-20 08:46:33,1.3,0.2,1.4,97.0,0.0
2025-01-20 08:47:03,4.8,0.4,3.2,91.6,0.0
2025-01-20 08:47:33,3.9,0.3,1.8,94.0,0.0
2025-01-20 08:48:03,1.5,0.3,1.0,97.3,0.0
2025-01-20 08:48:33,2.9,0.5,5.0,91.6,0.0
2025-01-20 08:49:03,1.0,0.2,1.6,97.2,0.0
2025-01-20 08:49:33,0.2,0.4,0.2,99.2,0.0
2025-01-20 08:50:03,5.6,0.6,0.3,93.5,0.0
2025-01-20 08:50:33,12.5,0.2,0.7,86.6,0.0
2025-01-20 08:51:03,1.8,0.6,2.0,95.6,0.0
2025-01-20 08:51:33,0.6,0.2,0.9,98.3,0.0
2025-01-20 08:52:03,7.8,0.8,1.4,89.9,0.0
2025-01-20 08:52:33,4.2,0.4,4.0,91.3,0.0
2025-01-20 08:53:03,9.6,0.4,1.3,88.7,0.0
2025-01-20 08:53:33,1.7,0.2,2.1,95.9,0.0
2025-01-20 08:54:03,5.1,0.4,3.8,90.8,0.0
2025-01-20 08:54:33,8.7,0.2,1.3,89.8,0.0
2025-01-20 08:55:03,3.5,0.3,2.0,94.1,0.0
2025-01-20 08:55:33,4.5,0.4,6.0,89.1,0.0
2025-01-20 08:56:03,0.2,0.3,0.4,99.2,0.0
2025-01-20 08:56:33,3.4,0.2,0.5,95.9,0.0
2025-01-20 08:57:03,1.4,0.3,2.0,96.3,0.0
2025-01-20 08:57:33,1.0,0.3,1.1,97.6,0.0
2025-01-20 08:58:03,2.6,0.4,2.4,94.6,0.0
2025-01-20 08:58:33,3.6,0.4,2.9,93.0,0.0
2025-01-20 08:59:03,2.0,0.5,3.1,94.4,0.0
2025-01-20 08:59:33,7.5,0.5,4.5,87.5,0.0
2025-01-20 09:00:03,8.8,0.6,3.9,86.7,0.0
2025-01-20 09:00:33,3.0,0.6,3.3,93.1,0.0
2025-01-20 09:01:03,2.9,0.2,1.4,95.5,0.0
2025-01-20 09:01:33,0.8,0.4,1.5,97.4,0.0
2025-01-20 09:02:03,7.6,0.3,0.9,91.1,0.0
2025-01-20 09:02:33,0.6,0.4,0.9,98.1,0.0
2025-01-20 09:03:03,3.1,0.4,3.4,93.1,0.0
2025-01-20 09:03:33,11.6,0.2,1.0,87.2,0.0
2025-01-20 09:04:03,6.8,0.4,6.1,86.7,0.0
2025-01-20 09:04:32,1.9,0.5,2.4,95.2,0.0
2025-01-20 09:05:02,0.6,0.3,1.4,97.6,0.0
2025-01-20 09:05:33,3.7,0.2,3.4,92.7,0.0
2025-01-20 09:06:03,2.1,0.2,1.9,95.7,0.0
2025-01-20 09:06:33,6.2,0.6,0.5,92.7,0.0
