CPU 22 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,9.2,0.7,0.0,90.1,0.0
2025-01-20 08:00:32,5.9,0.8,0.3,93.0,0.0
2025-01-20 08:01:02,2.4,0.4,0.2,97.0,0.0
2025-01-20 08:01:32,5.4,1.0,0.4,93.3,0.0
2025-01-20 08:02:02,4.6,0.8,0.1,94.5,0.0
2025-01-20 08:02:33,5.9,0.7,0.3,93.1,0.0
2025-01-20 08:03:03,16.1,1.4,0.7,81.7,0.0
2025-01-20 08:03:33,27.0,0.5,0.2,72.3,0.0
2025-01-20 08:04:03,9.7,0.9,0.8,88.6,0.0
2025-01-20 08:04:33,3.7,0.8,2.7,92.8,0.0
2025-01-20 08:05:03,3.4,0.6,1.4,94.6,0.0
2025-01-20 08:05:33,36.7,1.4,0.2,61.6,0.0
2025-01-20 08:06:03,29.4,0.6,0.4,69.6,0.0
2025-01-20 08:06:33,7.9,0.3,0.2,91.5,0.0
2025-01-20 08:07:03,18.4,0.9,0.5,80.2,0.0
2025-01-20 08:07:33,11.5,0.5,0.0,87.9,0.0
2025-01-20 08:08:03,3.2,0.4,0.0,96.3,0.0
2025-01-20 08:08:33,3.2,0.6,1.2,95.0,0.0
2025-01-20 08:09:03,3.2,0.5,0.3,96.1,0.0
2025-01-20 08:09:33,1.9,0.5,1.5,96.1,0.0
2025-01-20 08:10:03,10.2,1.2,0.7,88.0,0.0
2025-01-20 08:10:33,5.7,0.3,0.7,93.3,0.0
2025-01-20 08:11:03,1.4,0.3,0.3,98.0,0.0
2025-01-20 08:11:33,21.7,0.5,0.1,77.6,0.0
2025-01-20 08:12:03,5.8,0.5,0.2,93.5,0.0
2025-01-20 08:12:33,7.8,0.5,0.1,91.6,0.0
2025-01-20 08:13:03,3.1,0.4,0.1,96.4,0.0
2025-01-20 08:13:33,14.4,0.4,0.3,84.9,0.0
2025-01-20 08:14:03,4.1,0.5,1.0,94.4,0.0
2025-01-20 08:14:33,1.9,0.5,1.9,95.7,0.0
2025-01-20 08:15:03,9.7,0.9,0.2,89.2,0.0
2025-01-20 08:15:33,3.9,0.7,0.3,95.0,0.0
2025-01-20 08:16:03,8.0,0.5,1.1,90.4,0.0
2025-01-20 08:16:33,2.3,0.3,0.7,96.6,0.0
2025-01-20 08:17:03,2.4,0.4,0.7,96.4,0.0
2025-01-20 08:17:33,10.9,0.4,0.8,87.9,0.0
2025-01-20 08:18:03,2.6,0.4,0.4,96.6,0.0
2025-01-20 08:18:33,2.6,0.4,0.9,96.1,0.0
2025-01-20 08:19:03,1.5,0.3,1.2,96.9,0.0
2025-01-20 08:19:33,15.6,0.6,0.4,83.5,0.0
2025-01-20 08:20:03,1.7,0.5,1.0,96.8,0.0
2025-01-20 08:20:33,2.3,0.2,0.5,96.9,0.0
2025-01-20 08:21:03,3.6,0.4,0.6,95.4,0.0
2025-01-20 08:21:33,25.4,0.3,0.0,74.2,0.0
2025-01-20 08:22:03,5.5,0.4,0.5,93.6,0.0
2025-01-20 08:22:33,15.6,0.4,0.2,83.9,0.0
2025-01-20 08:23:03,22.0,0.4,0.5,77.2,0.0
2025-01-20 08:23:33,15.9,0.4,0.7,83.0,0.0
2025-01-20 08:24:03,44.4,0.2,0.1,55.2,0.0
2025-01-20 08:24:33,14.4,0.4,1.3,83.9,0.0
2025-01-20 08:25:03,15.7,0.6,1.2,82.5,0.0
2025-01-20 08:25:33,15.6,0.4,0.4,83.6,0.0
2025-01-20 08:26:03,4.9,0.4,2.0,92.7,0.0
2025-01-20 08:26:33,3.3,0.4,0.7,95.7,0.0
2025-01-20 08:27:03,8.5,1.1,1.0,89.4,0.0
2025-01-20 08:27:33,3.9,0.7,0.6,94.9,0.0
2025-01-20 08:28:03,22.2,0.4,0.1,77.4,0.0
2025-01-20 08:28:33,4.6,0.7,1.1,93.6,0.0
2025-01-20 08:29:03,5.9,0.5,0.7,92.9,0.0
2025-01-20 08:29:33,5.5,0.6,0.4,93.5,0.0
2025-01-20 08:30:03,2.9,0.5,0.4,96.3,0.0
2025-01-20 08:30:33,4.4,0.5,0.6,94.5,0.0
2025-01-20 08:31:03,3.5,0.6,0.8,95.1,0.0
2025-01-20 08:31:33,2.8,0.5,1.4,95.3,0.0
2025-01-20 08:32:02,3.7,0.5,1.3,94.5,0.0
2025-01-20 08:32:32,1.4,0.3,0.9,97.4,0.0
2025-01-20 08:33:02,4.6,0.3,0.1,95.0,0.0
2025-01-20 08:33:33,13.7,1.0,1.1,84.2,0.0
2025-01-20 08:34:03,7.4,0.8,1.4,90.4,0.0
2025-01-20 08:34:33,6.1,0.7,0.4,92.8,0.0
2025-01-20 08:35:03,9.3,0.7,1.9,88.1,0.0
2025-01-20 08:35:33,3.7,0.4,0.6,95.3,0.0
2025-01-20 08:36:03,11.5,0.5,0.5,87.4,0.0
2025-01-20 08:36:33,2.7,0.5,0.8,96.0,0.0
2025-01-20 08:37:03,41.4,0.7,0.7,57.2,0.0
2025-01-20 08:37:33,4.1,0.5,0.6,94.8,0.0
2025-01-20 08:38:03,7.8,0.4,0.8,91.1,0.0
2025-01-20 08:38:33,10.1,0.5,0.6,88.8,0.0
2025-01-20 08:39:03,3.6,0.4,0.4,95.6,0.0
2025-01-20 08:39:33,42.0,0.4,0.1,57.6,0.0
2025-01-20 08:40:03,17.8,0.5,0.2,81.5,0.0
2025-01-20 08:40:33,19.5,0.5,0.8,79.1,0.0
2025-01-20 08:41:03,25.3,0.6,0.6,73.5,0.0
2025-01-20 08:41:33,28.2,0.5,0.5,70.7,0.0
2025-01-20 08:42:03,1.8,0.4,0.7,97.2,0.0
2025-01-20 08:42:33,6.3,0.4,0.6,92.7,0.0
2025-01-20 08:43:03,4.3,0.4,1.0,94.2,0.0
2025-01-20 08:43:33,2.6,0.4,1.0,96.0,0.0
2025-01-20 08:44:03,1.4,0.3,0.6,97.8,0.0
2025-01-20 08:44:33,1.4,0.4,1.8,96.4,0.0
2025-01-20 08:45:03,1.1,0.3,0.4,98.3,0.0
2025-01-20 08:45:33,11.7,0.6,1.6,86.2,0.0
2025-01-20 08:46:03,4.4,0.5,0.7,94.3,0.0
2025-01-20 08:46:33,5.1,0.5,0.5,93.9,0.0
2025-01-20 08:47:03,8.4,0.4,0.8,90.4,0.0
2025-01-20 08:47:33,3.5,0.5,0.2,95.8,0.0
2025-01-20 08:48:03,4.2,0.6,1.5,93.7,0.0
2025-01-20 08:48:33,5.0,0.5,0.5,94.1,0.0
2025-01-20 08:49:03,4.6,0.7,0.4,94.3,0.0
2025-01-20 08:49:33,35.5,0.4,0.3,63.9,0.0
2025-01-20 08:50:03,9.8,0.9,0.7,88.6,0.0
2025-01-20 08:50:33,8.6,2.5,0.5,88.4,0.0
2025-01-20 08:51:03,5.6,0.7,0.6,93.1,0.0
2025-01-20 08:51:33,4.4,0.6,1.0,94.0,0.0
2025-01-20 08:52:03,8.6,0.5,0.8,90.0,0.0
2025-01-20 08:52:33,2.1,0.4,0.2,97.3,0.0
