CPU 20 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,0.0,0.0,0.0,100.0,0.0
2025-01-20 08:00:32,6.7,0.3,6.3,86.6,0.0
2025-01-20 08:01:02,8.8,0.2,6.1,84.9,0.0
2025-01-20 08:01:32,0.1,0.1,0.0,99.9,0.0
2025-01-20 08:02:02,1.4,0.0,0.8,97.7,0.0
2025-01-20 08:02:33,0.1,0.2,0.1,99.6,0.0
2025-01-20 08:03:03,2.8,0.2,3.3,93.7,0.0
2025-01-20 08:03:33,0.9,0.1,0.6,98.4,0.0
2025-01-20 08:04:03,2.0,0.3,2.2,95.5,0.0
2025-01-20 08:04:33,4.6,0.3,4.6,90.5,0.0
2025-01-20 08:05:03,0.6,0.3,0.8,98.3,0.0
2025-01-20 08:05:33,0.9,0.1,1.1,98.0,0.0
2025-01-20 08:06:03,10.5,0.5,8.1,80.8,0.0
2025-01-20 08:06:33,4.3,0.4,4.1,91.2,0.0
2025-01-20 08:07:03,5.6,0.2,4.2,90.0,0.0
2025-01-20 08:07:33,1.3,0.3,1.2,97.2,0.0
2025-01-20 08:08:03,2.9,0.2,2.6,94.3,0.0
2025-01-20 08:08:33,2.9,0.4,4.8,91.9,0.0
2025-01-20 08:09:03,7.3,0.6,6.3,85.8,0.0
2025-01-20 08:09:33,0.2,0.1,0.0,99.7,0.0
2025-01-20 08:10:03,0.2,0.1,0.2,99.5,0.0
2025-01-20 08:10:33,6.3,0.5,7.2,86.1,0.0
2025-01-20 08:11:03,3.2,0.2,2.9,93.7,0.0
2025-01-20 08:11:33,11.0,0.6,9.9,78.5,0.0
2025-01-20 08:12:03,3.0,0.2,2.9,93.9,0.0
2025-01-20 08:12:33,2.6,0.4,2.7,94.4,0.0
2025-01-20 08:13:03,3.5,0.2,3.4,92.8,0.0
2025-01-20 08:13:33,5.2,0.4,4.8,89.6,0.0
2025-01-20 08:14:03,4.6,0.3,3.6,91.5,0.0
2025-01-20 08:14:33,5.4,0.2,3.0,91.3,0.0
2025-01-20 08:15:03,1.5,0.3,2.7,95.5,0.0
2025-01-20 08:15:33,6.1,0.2,5.4,88.2,0.0
2025-01-20 08:16:03,1.2,0.1,1.7,97.0,0.0
2025-01-20 08:16:33,13.2,0.5,11.5,74.8,0.0
2025-01-20 08:17:03,4.4,0.3,3.7,91.5,0.0
2025-01-20 08:17:33,2.8,0.3,2.2,94.7,0.0
2025-01-20 08:18:03,12.1,0.5,10.2,77.1,0.0
2025-01-20 08:18:33,5.0,0.2,3.9,90.9,0.0
2025-01-20 08:19:03,1.9,0.2,1.8,96.1,0.0
2025-01-20 08:19:33,12.1,0.6,10.4,76.9,0.0
2025-01-20 08:20:03,3.1,0.5,3.3,93.2,0.0
2025-01-20 08:20:33,6.0,0.5,5.4,88.0,0.0
