CPU 75 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,12.4,1.3,0.0,86.3,0.0
2025-01-20 08:00:32,44.5,2.9,0.0,52.5,0.0
2025-01-20 08:01:02,6.0,0.8,0.0,93.2,0.0
2025-01-20 08:01:32,14.1,0.5,0.0,85.3,0.0
2025-01-20 08:02:02,18.8,0.5,0.0,80.7,0.0
2025-01-20 08:02:33,35.4,0.4,0.1,64.0,0.0
2025-01-20 08:03:03,66.9,0.3,0.0,32.8,0.0
2025-01-20 08:03:33,21.1,0.4,0.0,78.5,0.0
2025-01-20 08:04:03,41.4,0.4,0.0,58.2,0.0
2025-01-20 08:04:33,33.1,0.4,0.2,66.3,0.0
2025-01-20 08:05:03,7.6,0.5,0.5,91.4,0.0
2025-01-20 08:05:33,11.4,0.6,0.1,87.9,0.0
2025-01-20 08:06:03,52.1,0.4,0.0,47.5,0.0
2025-01-20 08:06:33,20.7,0.5,0.0,78.7,0.0
2025-01-20 08:07:03,27.2,0.5,0.0,72.2,0.0
2025-01-20 08:07:33,31.5,0.5,0.4,67.6,0.0
2025-01-20 08:08:03,23.4,0.8,0.3,75.5,0.0
2025-01-20 08:08:33,7.9,0.6,0.4,91.1,0.0
2025-01-20 08:09:03,16.9,0.6,0.4,82.0,0.0
2025-01-20 08:09:33,23.0,0.9,0.1,76.1,0.0
2025-01-20 08:10:03,21.2,1.1,0.0,77.6,0.0
2025-01-20 08:10:33,24.1,0.5,0.6,74.8,0.0
2025-01-20 08:11:03,11.1,0.5,0.1,88.4,0.0
2025-01-20 08:11:33,14.6,0.5,0.2,84.7,0.0
2025-01-20 08:12:03,19.3,0.4,0.0,80.3,0.0
2025-01-20 08:12:33,26.2,1.0,0.2,72.6,0.0
2025-01-20 08:13:03,45.6,1.5,0.1,52.8,0.0
2025-01-20 08:13:33,29.4,1.5,0.0,69.1,0.0
2025-01-20 08:14:03,15.5,0.5,0.3,83.7,0.0
2025-01-20 08:14:33,11.5,0.5,0.0,88.0,0.0
2025-01-20 08:15:03,36.6,2.0,0.0,61.3,0.0
2025-01-20 08:15:33,8.2,0.5,0.1,91.2,0.0
2025-01-20 08:16:03,23.9,1.1,0.1,74.8,0.0
2025-01-20 08:16:33,31.1,1.3,0.0,67.6,0.0
2025-01-20 08:17:03,39.2,0.6,0.1,60.1,0.0
2025-01-20 08:17:33,54.8,1.0,0.0,44.2,0.0
2025-01-20 08:18:03,20.9,1.4,0.0,77.6,0.0
2025-01-20 08:18:33,7.4,0.5,0.2,91.9,0.0
2025-01-20 08:19:03,11.5,0.5,0.2,87.8,0.0
2025-01-20 08:19:33,12.1,0.9,0.0,86.9,0.0
2025-01-20 08:20:03,13.4,0.6,0.1,85.9,0.0
2025-01-20 08:20:33,8.7,0.5,0.5,90.4,0.0
2025-01-20 08:21:03,13.5,0.4,0.2,85.9,0.0
2025-01-20 08:21:33,17.5,0.6,0.4,81.6,0.0
2025-01-20 08:22:03,46.4,0.5,0.0,53.1,0.0
2025-01-20 08:22:33,9.9,0.6,0.3,89.2,0.0
2025-01-20 08:23:03,28.4,2.1,0.1,69.4,0.0
2025-01-20 08:23:33,34.6,1.1,0.0,64.2,0.0
2025-01-20 08:24:03,28.9,1.4,0.3,69.4,0.0
2025-01-20 08:24:33,48.6,1.2,0.1,50.1,0.0
2025-01-20 08:25:03,55.2,1.0,0.1,43.7,0.0
2025-01-20 08:25:33,39.2,0.4,0.1,60.3,0.0
2025-01-20 08:26:03,31.8,1.2,0.1,66.9,0.0
2025-01-20 08:26:33,10.5,0.9,0.1,88.5,0.0
2025-01-20 08:27:03,15.1,2.5,0.6,81.8,0.0
2025-01-20 08:27:33,22.8,1.9,0.4,74.9,0.0
2025-01-20 08:28:03,13.8,1.6,0.6,84.1,0.0
2025-01-20 08:28:33,38.6,0.5,0.0,60.8,0.0
2025-01-20 08:29:03,16.1,0.5,0.3,83.1,0.0
2025-01-20 08:29:33,20.0,1.1,0.1,78.8,0.0
2025-01-20 08:30:03,31.4,0.6,0.1,67.9,0.0
2025-01-20 08:30:33,16.7,0.5,0.0,82.8,0.0
2025-01-20 08:31:03,24.4,0.6,0.1,74.8,0.0
2025-01-20 08:31:33,9.7,0.5,0.3,89.4,0.0
2025-01-20 08:32:02,27.3,1.2,0.2,71.4,0.0
2025-01-20 08:32:32,19.9,0.6,0.1,79.3,0.0
2025-01-20 08:33:02,12.4,0.7,0.2,86.7,0.0
2025-01-20 08:33:33,17.6,2.3,1.2,79.0,0.0
2025-01-20 08:34:03,14.1,2.0,0.9,83.0,0.0
2025-01-20 08:34:33,14.7,2.3,0.7,82.3,0.0
2025-01-20 08:35:03,31.7,2.1,0.4,65.8,0.0
2025-01-20 08:35:33,46.5,1.8,0.1,51.6,0.0
2025-01-20 08:36:03,57.8,3.4,0.1,38.7,0.0
2025-01-20 08:36:33,23.8,0.9,0.7,74.6,0.0
2025-01-20 08:37:03,22.2,1.1,0.3,76.4,0.0
2025-01-20 08:37:33,29.6,0.6,0.3,69.5,0.0
2025-01-20 08:38:03,38.3,0.7,0.5,60.5,0.0
2025-01-20 08:38:33,28.3,0.6,0.0,71.1,0.0
2025-01-20 08:39:03,51.0,1.5,0.0,47.5,0.0
2025-01-20 08:39:33,31.9,0.5,0.0,67.5,0.0
2025-01-20 08:40:03,17.2,0.9,0.2,81.7,0.0
2025-01-20 08:40:33,33.1,0.8,0.3,65.8,0.0
2025-01-20 08:41:03,34.0,1.6,0.3,64.2,0.0
2025-01-20 08:41:33,36.7,1.0,0.1,62.2,0.0
2025-01-20 08:42:03,20.5,1.2,0.2,78.2,0.0
2025-01-20 08:42:33,25.6,0.7,0.2,73.5,0.0
2025-01-20 08:43:03,47.2,1.1,0.0,51.6,0.0
2025-01-20 08:43:33,22.7,0.6,0.0,76.6,0.0
2025-01-20 08:44:03,22.2,1.1,0.4,76.4,0.0
2025-01-20 08:44:33,24.0,1.2,0.4,74.3,0.0
2025-01-20 08:45:03,13.6,0.6,0.3,85.5,0.0
2025-01-20 08:45:33,50.4,3.1,0.0,46.5,0.0
2025-01-20 08:46:03,24.1,1.8,0.1,74.0,0.0
2025-01-20 08:46:33,20.3,1.0,0.3,78.4,0.0
2025-01-20 08:47:03,35.8,1.7,0.2,62.3,0.0
2025-01-20 08:47:33,30.1,0.4,0.3,69.1,0.0
2025-01-20 08:48:03,42.1,0.6,0.3,57.1,0.0
2025-01-20 08:48:33,28.9,0.6,0.1,70.3,0.0
2025-01-20 08:49:03,34.9,0.6,0.2,64.3,0.0
2025-01-20 08:49:33,28.4,0.7,0.2,70.8,0.0
2025-01-20 08:50:03,49.0,0.7,0.3,50.0,0.0
2025-01-20 08:50:33,43.0,2.5,0.2,54.3,0.0
2025-01-20 08:51:03,27.5,2.0,0.6,69.9,0.0
2025-01-20 08:51:33,49.2,1.2,0.5,49.1,0.0
2025-01-20 08:52:03,46.5,0.4,0.1,53.0,0.0
2025-01-20 08:52:33,12.8,0.7,0.7,85.8,0.0
2025-01-20 08:53:03,24.6,0.6,0.3,74.5,0.0
2025-01-20 08:53:33,25.6,0.5,0.1,73.8,0.0
2025-01-20 08:54:03,38.1,2.0,0.1,59.8,0.0
2025-01-20 08:54:33,35.9,1.6,0.1,62.4,0.0
2025-01-20 08:55:03,26.9,0.6,0.0,72.5,0.0
2025-01-20 08:55:33,49.8,1.1,0.1,49.0,0.0
2025-01-20 08:56:03,23.0,1.1,0.2,75.7,0.0
2025-01-20 08:56:33,29.5,0.7,0.3,69.5,0.0
2025-01-20 08:57:03,44.5,0.6,0.2,54.8,0.0
2025-01-20 08:57:33,24.5,1.3,0.1,74.1,0.0
2025-01-20 08:58:03,54.6,2.2,0.0,43.2,0.0
2025-01-20 08:58:33,38.3,1.7,0.2,59.8,0.0
2025-01-20 08:59:03,25.1,1.9,0.2,72.7,0.0
2025-01-20 08:59:33,24.3,0.6,0.3,74.8,0.0
2025-01-20 09:00:03,22.4,0.7,0.1,76.8,0.0
2025-01-20 09:00:33,45.3,0.6,0.3,53.9,0.0
2025-01-20 09:01:03,12.3,0.7,0.2,86.8,0.0
2025-01-20 09:01:33,20.3,0.9,0.2,78.6,0.0
2025-01-20 09:02:03,35.7,2.4,0.2,61.7,0.0
2025-01-20 09:02:33,27.3,1.1,0.2,71.5,0.0
2025-01-20 09:03:03,26.6,0.7,0.1,72.6,0.0
2025-01-20 09:03:33,18.1,0.6,0.3,81.1,0.0
2025-01-20 09:04:03,56.9,1.9,0.2,41.1,0.0
2025-01-20 09:04:32,59.3,2.6,0.1,38.0,0.0
2025-01-20 09:05:02,22.0,1.7,0.1,76.1,0.0
2025-01-20 09:05:33,37.2,0.5,0.1,62.2,0.0
2025-01-20 09:06:03,47.4,4.2,0.1,48.3,0.0
2025-01-20 09:06:33,32.9,1.0,0.1,66.1,0.0
2025-01-20 09:07:03,23.5,1.3,0.5,74.7,0.0
2025-01-20 09:07:33,27.6,1.8,0.1,70.6,0.0
2025-01-20 09:08:03,19.0,1.2,0.3,79.5,0.0
2025-01-20 09:08:33,18.7,0.8,0.6,79.9,0.0
2025-01-20 09:09:03,18.9,1.1,0.1,79.9,0.0
2025-01-20 09:09:33,38.3,1.9,0.1,59.7,0.0
2025-01-20 09:10:03,61.7,1.5,0.3,36.4,0.0
2025-01-20 09:10:33,48.8,0.6,0.1,50.5,0.0
2025-01-20 09:11:03,14.2,0.6,0.2,85.0,0.0
2025-01-20 09:11:33,14.1,0.7,0.3,84.8,0.0
2025-01-20 09:12:03,12.6,0.6,0.3,86.5,0.0
2025-01-20 09:12:33,35.1,0.6,0.1,64.2,0.0
2025-01-20 09:13:03,36.3,0.6,0.6,62.5,0.0
2025-01-20 09:13:33,18.8,0.8,0.2,80.2,0.0
2025-01-20 09:14:03,24.2,0.6,0.4,74.7,0.0
2025-01-20 09:14:33,23.4,0.4,0.3,75.8,0.0
2025-01-20 09:15:03,39.4,1.0,0.4,59.3,0.0
2025-01-20 09:15:33,19.0,0.8,0.2,80.0,0.0
2025-01-20 09:16:03,40.6,0.7,0.2,58.4,0.0
2025-01-20 09:16:33,45.1,1.1,0.1,53.7,0.0
2025-01-20 09:17:03,40.0,1.4,0.2,58.4,0.0
2025-01-20 09:17:33,20.3,0.4,0.2,79.1,0.0
2025-01-20 09:18:03,10.3,0.6,0.7,88.4,0.0
2025-01-20 09:18:33,19.2,0.5,0.1,80.2,0.0
2025-01-20 09:19:03,9.7,0.6,0.6,89.1,0.0
2025-01-20 09:19:33,23.9,0.4,0.3,75.4,0.0
2025-01-20 09:20:03,9.8,0.9,0.0,89.3,0.0
2025-01-20 09:20:33,31.1,0.5,0.3,68.1,0.0
2025-01-20 09:21:03,56.5,0.5,0.1,42.9,0.0
2025-01-20 09:21:33,17.7,0.5,0.2,81.6,0.0
2025-01-20 09:22:03,11.5,0.6,0.2,87.8,0.0
2025-01-20 09:22:33,30.5,0.8,0.1,68.6,0.0
2025-01-20 09:23:03,14.3,0.6,0.1,85.0,0.0
2025-01-20 09:23:33,23.6,0.6,0.1,75.7,0.0
2025-01-20 09:24:03,20.3,0.7,0.1,78.8,0.0
2025-01-20 09:24:33,24.7,0.6,0.5,74.2,0.0
2025-01-20 09:25:03,24.5,0.7,0.3,74.5,0.0
2025-01-20 09:25:33,19.9,0.6,0.4,79.1,0.0
2025-01-20 09:26:03,16.6,0.5,0.2,82.8,0.0
2025-01-20 09:26:33,19.5,0.4,0.1,80.0,0.0
2025-01-20 09:27:03,24.1,0.6,0.3,75.0,0.0
2025-01-20 09:27:33,51.4,0.5,0.3,47.9,0.0
2025-01-20 09:28:03,31.0,0.6,0.6,67.8,0.0
2025-01-20 09:28:33,11.4,0.6,0.3,87.8,0.0
2025-01-20 09:29:03,28.4,0.6,0.2,70.7,0.0
2025-01-20 09:29:33,26.8,0.7,0.6,71.9,0.0
2025-01-20 09:30:03,22.6,1.4,0.1,75.8,0.0
2025-01-20 09:30:33,19.4,0.6,0.1,79.9,0.0
2025-01-20 09:31:03,17.8,0.7,0.1,81.5,0.0
2025-01-20 09:31:33,18.1,0.6,0.3,81.0,0.0
2025-01-20 09:32:03,15.4,1.2,0.3,83.1,0.0
2025-01-20 09:32:33,18.9,2.2,1.1,77.8,0.0
2025-01-20 09:33:03,18.6,2.0,1.1,78.3,0.0
2025-01-20 09:33:33,13.0,1.8,0.6,84.7,0.0
2025-01-20 09:34:03,26.7,0.7,0.3,72.3,0.0
2025-01-20 09:34:33,14.9,0.5,0.1,84.5,0.0
2025-01-20 09:35:03,32.4,1.5,0.2,65.9,0.0
