Processes his02,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
2025-01-20 08:28:03,4,1,28947.5,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 08:28:33,4,2,28625.6,-1.0,-1.0,-1.0,13.8,-1.0,-1.0,-1.0
2025-01-20 08:29:03,5,0,26627.4,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0
2025-01-20 08:29:33,5,0,26600.4,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
2025-01-20 08:30:03,2,2,24742.4,-1.0,-1.0,-1.0,17.3,-1.0,-1.0,-1.0
2025-01-20 08:30:33,2,1,25871.8,-1.0,-1.0,-1.0,16.4,-1.0,-1.0,-1.0
2025-01-20 08:31:03,3,0,26695.7,-1.0,-1.0,-1.0,15.7,-1.0,-1.0,-1.0
2025-01-20 08:31:33,5,1,24705.9,-1.0,-1.0,-1.0,12.7,-1.0,-1.0,-1.0
2025-01-20 08:32:02,4,1,25887.1,-1.0,-1.0,-1.0,33.9,-1.0,-1.0,-1.0
2025-01-20 08:32:32,3,3,27445.5,-1.0,-1.0,-1.0,14.0,-1.0,-1.0,-1.0
2025-01-20 08:33:02,3,1,25329.9,-1.0,-1.0,-1.0,10.7,-1.0,-1.0,-1.0
2025-01-20 08:33:33,5,1,28293.0,-1.0,-1.0,-1.0,15.8,-1.0,-1.0,-1.0
2025-01-20 08:34:03,3,1,29262.0,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 08:34:33,4,1,29402.1,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 08:35:03,3,3,28936.8,-1.0,-1.0,-1.0,14.1,-1.0,-1.0,-1.0
2025-01-20 08:35:33,5,0,27396.5,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 08:36:03,5,1,28499.6,-1.0,-1.0,-1.0,20.7,-1.0,-1.0,-1.0
2025-01-20 08:36:33,1,3,25789.4,-1.0,-1.0,-1.0,14.5,-1.0,-1.0,-1.0
2025-01-20 08:37:03,4,0,29916.3,-1.0,-1.0,-1.0,31.5,-1.0,-1.0,-1.0
2025-01-20 08:37:33,4,1,25279.2,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 08:38:03,4,1,24093.8,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 08:38:33,4,1,24303.9,-1.0,-1.0,-1.0,15.1,-1.0,-1.0,-1.0
2025-01-20 08:39:03,5,0,24104.8,-1.0,-1.0,-1.0,13.4,-1.0,-1.0,-1.0
2025-01-20 08:39:33,7,1,25707.8,-1.0,-1.0,-1.0,13.8,-1.0,-1.0,-1.0
2025-01-20 08:40:03,3,1,25854.2,-1.0,-1.0,-1.0,17.3,-1.0,-1.0,-1.0
2025-01-20 08:40:33,4,2,26848.7,-1.0,-1.0,-1.0,14.3,-1.0,-1.0,-1.0
2025-01-20 08:41:03,7,1,28705.7,-1.0,-1.0,-1.0,17.4,-1.0,-1.0,-1.0
2025-01-20 08:41:33,6,1,25565.9,-1.0,-1.0,-1.0,11.3,-1.0,-1.0,-1.0
2025-01-20 08:42:03,3,1,24878.2,-1.0,-1.0,-1.0,33.4,-1.0,-1.0,-1.0
2025-01-20 08:42:33,3,1,25397.2,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0
2025-01-20 08:43:03,2,2,24860.5,-1.0,-1.0,-1.0,12.5,-1.0,-1.0,-1.0
2025-01-20 08:43:33,3,1,24428.6,-1.0,-1.0,-1.0,13.6,-1.0,-1.0,-1.0
2025-01-20 08:44:03,4,1,23793.9,-1.0,-1.0,-1.0,14.4,-1.0,-1.0,-1.0
2025-01-20 08:44:33,3,1,26204.3,-1.0,-1.0,-1.0,14.8,-1.0,-1.0,-1.0
2025-01-20 08:45:03,1,2,24033.0,-1.0,-1.0,-1.0,13.2,-1.0,-1.0,-1.0
2025-01-20 08:45:33,3,2,25363.6,-1.0,-1.0,-1.0,13.9,-1.0,-1.0,-1.0
2025-01-20 08:46:03,3,1,28062.7,-1.0,-1.0,-1.0,21.6,-1.0,-1.0,-1.0
2025-01-20 08:46:33,4,2,26120.0,-1.0,-1.0,-1.0,14.9,-1.0,-1.0,-1.0
