CPU 76 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,77.1,4.6,0.0,18.3,0.0
2025-01-20 08:00:32,24.5,0.3,0.3,74.9,0.0
2025-01-20 08:01:02,5.2,0.4,0.1,94.3,0.0
2025-01-20 08:01:32,93.2,0.4,0.0,6.4,0.0
2025-01-20 08:02:02,55.0,0.3,0.3,44.4,0.0
2025-01-20 08:02:33,24.3,0.7,0.0,75.0,0.0
2025-01-20 08:03:03,23.7,0.4,0.2,75.8,0.0
2025-01-20 08:03:33,69.2,0.6,0.0,30.1,0.0
2025-01-20 08:04:03,46.0,0.9,0.6,52.5,0.0
2025-01-20 08:04:33,11.3,1.8,1.0,85.9,0.0
2025-01-20 08:05:03,7.1,1.7,0.3,90.9,0.0
2025-01-20 08:05:33,63.1,1.1,0.2,35.6,0.0
2025-01-20 08:06:03,8.3,1.4,1.3,89.0,0.0
2025-01-20 08:06:33,22.0,1.4,1.0,75.7,0.0
2025-01-20 08:07:03,27.6,1.0,0.4,71.0,0.0
2025-01-20 08:07:33,36.3,0.6,0.0,63.0,0.0
2025-01-20 08:08:03,32.5,1.4,0.3,65.8,0.0
2025-01-20 08:08:33,11.1,0.9,0.1,87.9,0.0
2025-01-20 08:09:03,6.0,0.3,0.4,93.3,0.0
2025-01-20 08:09:33,89.4,0.3,0.2,10.1,0.0
2025-01-20 08:10:03,51.7,0.3,0.1,48.0,0.0
2025-01-20 08:10:33,12.2,0.5,0.0,87.3,0.0
2025-01-20 08:11:03,6.9,0.4,0.0,92.7,0.0
2025-01-20 08:11:33,3.6,0.5,0.2,95.6,0.0
2025-01-20 08:12:03,2.1,0.3,0.1,97.6,0.0
2025-01-20 08:12:33,4.1,0.3,0.4,95.3,0.0
2025-01-20 08:13:03,16.5,1.1,0.0,82.3,0.0
2025-01-20 08:13:33,8.7,0.5,0.4,90.4,0.0
2025-01-20 08:14:03,11.4,0.4,0.1,88.1,0.0
2025-01-20 08:14:33,12.1,0.4,0.2,87.3,0.0
2025-01-20 08:15:03,12.0,0.3,0.3,87.4,0.0
2025-01-20 08:15:33,51.5,3.2,0.1,45.3,0.0
2025-01-20 08:16:03,33.3,2.1,0.2,64.3,0.0
2025-01-20 08:16:33,18.9,0.6,0.1,80.3,0.0
2025-01-20 08:17:03,27.4,0.5,0.1,72.1,0.0
2025-01-20 08:17:33,17.6,0.6,0.1,81.7,0.0
2025-01-20 08:18:03,10.8,1.0,0.3,88.0,0.0
2025-01-20 08:18:33,33.7,1.7,0.1,64.5,0.0
2025-01-20 08:19:03,14.0,0.6,0.1,85.4,0.0
2025-01-20 08:19:33,3.7,0.5,0.7,95.0,0.0
2025-01-20 08:20:03,3.3,0.3,0.4,96.0,0.0
2025-01-20 08:20:33,8.8,0.4,0.2,90.6,0.0
2025-01-20 08:21:03,11.6,0.4,0.1,87.9,0.0
2025-01-20 08:21:33,36.1,1.3,0.1,62.5,0.0
2025-01-20 08:22:03,23.1,1.8,0.4,74.8,0.0
2025-01-20 08:22:33,9.8,1.3,0.2,88.6,0.0
2025-01-20 08:23:03,14.0,1.4,0.8,83.9,0.0
2025-01-20 08:23:33,10.3,1.3,1.0,87.4,0.0
2025-01-20 08:24:03,14.6,1.0,1.2,83.2,0.0
2025-01-20 08:24:33,13.5,1.2,0.5,84.7,0.0
2025-01-20 08:25:03,8.4,1.3,0.4,89.9,0.0
2025-01-20 08:25:33,36.4,2.1,0.3,61.2,0.0
2025-01-20 08:26:03,20.9,1.2,0.1,77.8,0.0
2025-01-20 08:26:33,14.7,0.3,0.2,84.8,0.0
2025-01-20 08:27:03,5.3,0.3,0.1,94.3,0.0
2025-01-20 08:27:33,4.5,0.5,0.1,94.9,0.0
2025-01-20 08:28:03,19.2,0.3,0.1,80.4,0.0
2025-01-20 08:28:33,8.8,0.4,0.0,90.7,0.0
2025-01-20 08:29:03,12.6,0.9,0.0,86.5,0.0
2025-01-20 08:29:33,3.9,0.4,0.1,95.6,0.0
2025-01-20 08:30:03,19.8,0.4,0.1,79.7,0.0
2025-01-20 08:30:33,11.5,0.3,0.0,88.2,0.0
2025-01-20 08:31:03,13.6,0.4,0.4,85.6,0.0
2025-01-20 08:31:33,5.1,0.6,0.4,94.0,0.0
2025-01-20 08:32:02,4.7,0.5,0.1,94.7,0.0
2025-01-20 08:32:32,12.4,0.3,0.2,87.2,0.0
2025-01-20 08:33:02,11.2,0.4,1.0,87.4,0.0
2025-01-20 08:33:33,5.3,0.4,0.5,93.8,0.0
2025-01-20 08:34:03,8.0,0.3,0.0,91.6,0.0
2025-01-20 08:34:33,10.4,0.4,0.1,89.0,0.0
2025-01-20 08:35:03,35.4,0.3,0.1,64.2,0.0
2025-01-20 08:35:33,19.1,0.3,0.3,80.4,0.0
2025-01-20 08:36:03,49.9,0.5,0.1,49.5,0.0
2025-01-20 08:36:33,35.6,0.4,0.4,63.6,0.0
2025-01-20 08:37:03,39.5,1.5,0.1,58.9,0.0
2025-01-20 08:37:33,15.8,1.0,0.4,82.8,0.0
2025-01-20 08:38:03,13.6,0.6,0.1,85.7,0.0
2025-01-20 08:38:33,9.2,0.6,0.4,89.8,0.0
2025-01-20 08:39:03,10.3,0.6,0.2,89.0,0.0
2025-01-20 08:39:33,25.8,0.3,0.1,73.7,0.0
2025-01-20 08:40:03,21.5,0.6,0.0,77.8,0.0
2025-01-20 08:40:33,76.3,0.6,0.0,23.1,0.0
2025-01-20 08:41:03,15.4,0.5,0.1,84.0,0.0
2025-01-20 08:41:33,24.1,0.3,0.1,75.6,0.0
2025-01-20 08:42:03,7.0,0.4,0.5,92.1,0.0
2025-01-20 08:42:33,8.0,0.3,0.7,91.0,0.0
2025-01-20 08:43:03,2.8,0.3,0.2,96.7,0.0
2025-01-20 08:43:33,14.7,0.3,0.4,84.5,0.0
2025-01-20 08:44:03,17.8,0.5,0.1,81.6,0.0
2025-01-20 08:44:33,7.0,0.4,0.1,92.5,0.0
2025-01-20 08:45:03,28.9,0.4,0.1,70.6,0.0
2025-01-20 08:45:33,20.6,0.3,1.5,77.5,0.0
2025-01-20 08:46:03,6.8,1.0,0.1,92.1,0.0
2025-01-20 08:46:33,8.8,2.1,1.1,88.0,0.0
2025-01-20 08:47:03,24.3,1.8,0.6,73.3,0.0
2025-01-20 08:47:33,10.0,1.6,1.0,87.5,0.0
2025-01-20 08:48:03,31.3,1.8,0.4,66.5,0.0
2025-01-20 08:48:33,13.8,1.5,1.9,82.8,0.0
2025-01-20 08:49:03,52.5,0.4,0.2,46.9,0.0
2025-01-20 08:49:33,74.8,0.3,0.0,24.9,0.0
2025-01-20 08:50:03,39.3,0.5,0.4,59.8,0.0
2025-01-20 08:50:33,27.0,1.2,0.2,71.6,0.0
2025-01-20 08:51:03,36.7,3.1,0.1,60.0,0.0
