CPU 2 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,1.3,1.9,0.6,96.1,0.0
2025-01-20 08:00:32,2.6,0.5,5.7,91.3,0.0
2025-01-20 08:01:02,5.4,0.5,0.9,93.3,0.0
2025-01-20 08:01:32,13.3,0.2,1.9,84.6,0.0
2025-01-20 08:02:02,1.1,0.5,0.6,97.8,0.0
2025-01-20 08:02:33,1.9,0.2,1.4,96.5,0.0
2025-01-20 08:03:03,3.2,0.7,7.5,88.6,0.0
2025-01-20 08:03:33,18.5,0.4,0.3,80.8,0.0
2025-01-20 08:04:03,6.3,1.2,8.5,84.0,0.0
2025-01-20 08:04:33,4.5,0.8,5.7,89.0,0.0
2025-01-20 08:05:03,4.9,0.6,7.1,87.4,0.0
2025-01-20 08:05:33,1.3,0.7,4.5,93.4,0.0
2025-01-20 08:06:03,2.2,0.7,4.5,92.6,0.0
2025-01-20 08:06:33,2.9,0.6,5.0,91.5,0.0
2025-01-20 08:07:03,2.4,0.9,7.5,89.2,0.0
2025-01-20 08:07:33,1.4,0.6,2.4,95.6,0.0
2025-01-20 08:08:03,1.2,0.4,1.3,97.2,0.0
2025-01-20 08:08:33,4.0,0.9,9.2,85.9,0.0
2025-01-20 08:09:03,3.5,0.6,3.0,92.9,0.0
2025-01-20 08:09:33,11.5,1.4,20.2,66.9,0.0
2025-01-20 08:10:03,7.6,1.2,16.3,74.9,0.0
2025-01-20 08:10:33,1.9,0.4,3.6,94.1,0.0
2025-01-20 08:11:03,2.1,0.6,2.5,94.7,0.0
2025-01-20 08:11:33,0.4,0.5,1.3,97.8,0.0
2025-01-20 08:12:03,3.4,0.8,2.2,93.6,0.0
2025-01-20 08:12:33,11.1,0.7,6.5,81.7,0.0
2025-01-20 08:13:03,2.9,0.9,8.1,88.2,0.0
2025-01-20 08:13:33,3.4,0.8,7.2,88.6,0.0
2025-01-20 08:14:03,6.3,0.9,5.2,87.5,0.0
2025-01-20 08:14:33,7.5,0.8,10.7,81.0,0.0
2025-01-20 08:15:03,4.3,0.3,2.3,93.1,0.0
2025-01-20 08:15:33,7.3,0.8,9.8,82.1,0.0
2025-01-20 08:16:03,9.6,1.3,19.1,70.0,0.0
2025-01-20 08:16:33,5.2,1.3,17.1,76.4,0.0
2025-01-20 08:17:03,17.8,0.9,5.8,75.5,0.0
2025-01-20 08:17:33,8.5,1.0,11.8,78.6,0.0
2025-01-20 08:18:03,5.7,0.7,4.8,88.8,0.0
2025-01-20 08:18:33,6.9,1.2,12.4,79.5,0.0
2025-01-20 08:19:03,8.9,1.0,13.7,76.4,0.0
2025-01-20 08:19:33,1.3,0.4,3.4,94.8,0.0
2025-01-20 08:20:03,5.7,0.8,8.1,85.5,0.0
2025-01-20 08:20:33,4.5,1.1,16.8,77.6,0.0
2025-01-20 08:21:03,4.6,0.8,6.9,87.7,0.0
2025-01-20 08:21:33,0.4,0.5,0.3,98.7,0.0
2025-01-20 08:22:03,12.2,1.3,17.8,68.7,0.0
2025-01-20 08:22:33,2.3,0.8,3.8,93.1,0.0
2025-01-20 08:23:03,4.3,0.9,8.2,86.6,0.0
2025-01-20 08:23:33,4.1,0.5,2.8,92.6,0.0
2025-01-20 08:24:03,0.6,0.4,2.8,96.1,0.0
2025-01-20 08:24:33,17.3,1.6,15.8,65.3,0.0
2025-01-20 08:25:03,3.3,1.0,12.7,83.0,0.0
2025-01-20 08:25:33,5.0,1.1,13.0,80.9,0.0
2025-01-20 08:26:03,11.6,1.1,13.7,73.5,0.0
2025-01-20 08:26:33,3.7,0.9,9.3,86.0,0.0
2025-01-20 08:27:03,6.4,0.7,5.0,87.9,0.0
2025-01-20 08:27:33,2.2,0.8,4.7,92.3,0.0
2025-01-20 08:28:03,1.5,0.8,4.4,93.4,0.0
2025-01-20 08:28:33,4.6,1.3,14.3,79.8,0.0
2025-01-20 08:29:03,5.1,0.8,8.7,85.4,0.0
2025-01-20 08:29:33,4.4,1.1,8.6,85.9,0.0
2025-01-20 08:30:03,7.2,1.0,10.2,81.5,0.0
2025-01-20 08:30:33,4.9,1.1,12.4,81.6,0.0
2025-01-20 08:31:03,7.1,0.9,9.6,82.4,0.0
2025-01-20 08:31:33,4.1,1.1,8.7,86.1,0.0
2025-01-20 08:32:02,10.4,0.8,9.2,79.6,0.0
2025-01-20 08:32:32,9.7,1.1,11.1,78.1,0.0
2025-01-20 08:33:02,1.5,0.7,4.2,93.6,0.0
2025-01-20 08:33:33,5.1,0.9,7.8,86.2,0.0
2025-01-20 08:34:03,3.1,0.9,5.4,90.6,0.0
2025-01-20 08:34:33,2.0,1.0,4.7,92.3,0.0
2025-01-20 08:35:03,14.8,1.4,17.9,65.9,0.0
2025-01-20 08:35:33,8.6,0.6,4.8,85.9,0.0
2025-01-20 08:36:03,7.9,1.1,7.5,83.6,0.0
2025-01-20 08:36:33,4.3,1.0,11.1,83.6,0.0
2025-01-20 08:37:03,1.6,0.6,5.0,92.9,0.0
2025-01-20 08:37:33,13.5,0.4,3.3,82.8,0.0
2025-01-20 08:38:03,6.2,0.6,6.5,86.7,0.0
2025-01-20 08:38:33,4.6,0.9,7.9,86.6,0.0
2025-01-20 08:39:03,10.3,0.9,4.8,84.0,0.0
2025-01-20 08:39:33,0.6,0.4,0.9,98.1,0.0
2025-01-20 08:40:03,4.4,0.6,2.6,92.3,0.0
2025-01-20 08:40:33,33.1,1.0,8.5,57.4,0.0
2025-01-20 08:41:03,6.3,0.8,4.6,88.3,0.0
2025-01-20 08:41:33,8.0,0.9,6.7,84.4,0.0
2025-01-20 08:42:03,7.0,0.9,8.2,83.9,0.0
2025-01-20 08:42:33,6.8,0.9,7.9,84.3,0.0
2025-01-20 08:43:03,6.0,0.7,8.7,84.6,0.0
2025-01-20 08:43:33,4.7,1.0,7.3,87.0,0.0
2025-01-20 08:44:03,9.9,0.6,5.1,84.4,0.0
2025-01-20 08:44:33,13.7,1.0,11.3,73.9,0.0
2025-01-20 08:45:03,15.6,0.8,7.1,76.5,0.0
2025-01-20 08:45:33,13.5,1.0,12.2,73.3,0.0
2025-01-20 08:46:03,14.1,0.9,5.7,79.2,0.0
2025-01-20 08:46:33,8.0,1.0,6.7,84.4,0.0
2025-01-20 08:47:03,5.2,1.1,8.7,85.0,0.0
2025-01-20 08:47:33,2.7,1.0,8.5,87.8,0.0
2025-01-20 08:48:03,27.0,1.1,12.9,58.9,0.0
2025-01-20 08:48:33,7.6,0.9,5.5,86.0,0.0
2025-01-20 08:49:03,2.4,0.9,6.1,90.6,0.0
2025-01-20 08:49:33,2.8,0.9,7.2,89.2,0.0
2025-01-20 08:50:03,4.8,0.9,7.9,86.4,0.0
2025-01-20 08:50:33,2.9,0.9,10.0,86.2,0.0
2025-01-20 08:51:03,14.3,0.9,3.9,80.9,0.0
2025-01-20 08:51:33,6.6,0.8,6.7,85.9,0.0
2025-01-20 08:52:03,9.1,1.4,13.5,76.1,0.0
2025-01-20 08:52:33,4.1,1.0,12.1,82.8,0.0
2025-01-20 08:53:03,9.9,0.8,10.0,79.3,0.0
2025-01-20 08:53:33,7.1,0.9,7.6,84.4,0.0
2025-01-20 08:54:03,21.8,1.4,6.3,70.5,0.0
2025-01-20 08:54:33,1.5,0.8,5.1,92.6,0.0
2025-01-20 08:55:03,4.7,1.2,14.1,80.0,0.0
2025-01-20 08:55:33,25.4,0.8,6.5,67.2,0.0
2025-01-20 08:56:03,5.3,1.0,10.3,83.4,0.0
2025-01-20 08:56:33,6.4,1.2,13.5,78.8,0.0
2025-01-20 08:57:03,4.7,0.7,4.3,90.3,0.0
2025-01-20 08:57:33,5.5,1.0,9.8,83.7,0.0
2025-01-20 08:58:03,5.4,0.7,6.0,88.0,0.0
2025-01-20 08:58:33,14.0,0.7,6.2,79.1,0.0
2025-01-20 08:59:03,1.5,0.5,2.7,95.3,0.0
2025-01-20 08:59:33,10.2,0.8,7.7,81.3,0.0
2025-01-20 09:00:03,7.3,0.7,10.5,81.4,0.0
2025-01-20 09:00:33,4.3,0.8,10.0,84.8,0.0
2025-01-20 09:01:03,2.5,0.5,4.8,92.3,0.0
2025-01-20 09:01:33,5.2,0.5,4.9,89.3,0.0
2025-01-20 09:02:03,3.9,0.9,7.4,87.9,0.0
2025-01-20 09:02:33,2.2,0.7,4.5,92.6,0.0
2025-01-20 09:03:03,4.3,0.5,5.1,90.0,0.0
2025-01-20 09:03:33,3.4,0.7,6.2,89.7,0.0
2025-01-20 09:04:03,7.0,0.6,6.1,86.3,0.0
2025-01-20 09:04:32,5.1,0.9,9.8,84.3,0.0
2025-01-20 09:05:02,8.1,0.9,5.2,85.7,0.0
2025-01-20 09:05:33,2.8,0.5,4.5,92.1,0.0
2025-01-20 09:06:03,2.9,1.0,5.6,90.5,0.0
2025-01-20 09:06:33,8.8,1.1,11.1,79.1,0.0
2025-01-20 09:07:03,6.5,0.9,10.8,81.8,0.0
2025-01-20 09:07:33,2.6,0.5,4.2,92.7,0.0
2025-01-20 09:08:03,2.2,0.6,3.7,93.6,0.0
2025-01-20 09:08:33,3.1,0.8,7.4,88.7,0.0
2025-01-20 09:09:03,5.3,0.7,7.1,87.0,0.0
2025-01-20 09:09:33,10.2,1.1,15.6,73.2,0.0
2025-01-20 09:10:03,8.0,1.2,12.1,78.6,0.0
2025-01-20 09:10:33,32.5,1.5,28.1,38.0,0.0
2025-01-20 09:11:03,2.6,0.9,7.5,89.1,0.0
2025-01-20 09:11:33,1.9,0.5,4.1,93.5,0.0
2025-01-20 09:12:03,1.5,0.3,3.1,95.2,0.0
2025-01-20 09:12:33,4.6,0.5,5.8,89.1,0.0
2025-01-20 09:13:03,6.8,1.3,13.8,78.1,0.0
2025-01-20 09:13:33,2.5,0.8,6.0,90.6,0.0
2025-01-20 09:14:03,5.7,0.4,0.6,93.4,0.0
2025-01-20 09:14:33,6.0,0.6,4.1,89.4,0.0
2025-01-20 09:15:03,11.3,1.3,9.8,77.6,0.0
2025-01-20 09:15:33,3.7,0.8,11.7,83.8,0.0
2025-01-20 09:16:03,6.4,0.5,4.4,88.7,0.0
2025-01-20 09:16:33,6.6,1.2,10.6,81.5,0.0
2025-01-20 09:17:03,7.6,0.8,9.3,82.3,0.0
2025-01-20 09:17:33,4.1,0.6,4.0,91.3,0.0
2025-01-20 09:18:03,3.7,0.8,6.5,88.9,0.0
2025-01-20 09:18:33,30.6,0.8,6.3,62.2,0.0
