Paging and Virtual Memory,nr_dirty,nr_writeback,nr_unstable,nr_page_table_pages,nr_mapped,nr_slab,pgpgin,pgpgout,pswpin,pswpout,pgfree,pgactivate,pgdeactivate,pgfault,pgmajfault,pginodesteal,slabs_scanned,kswapd_steal,kswapd_inodesteal,pageoutrun,allocstall,pgrotated,pgalloc_high,pgalloc_normal,pgalloc_dma,pgrefill_high,pgrefill_normal,pgrefill_dma,pgsteal_high,pgsteal_normal,pgsteal_dma,pgscan_kswapd_high,pgscan_kswapd_normal,pgscan_kswapd_dma,pgscan_direct_high,pgscan_direct_normal,pgscan_direct_dma
2025-01-20 08:15:03,834,0,0,70157,304428,-1,17594883,62163,0,0,492966,104,0,361094,0,0,0,0,0,0,0,0,0,496702,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:15:33,607,0,0,69782,304387,-1,19406551,34719,0,0,525304,293,0,426178,0,0,0,0,0,0,0,0,0,517531,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:16:03,497,0,0,69350,304616,-1,15038722,23520,0,0,558959,375,0,481085,0,0,0,0,0,0,0,0,0,559650,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:16:33,362,0,0,69827,304616,-1,21702456,24276,0,0,416729,132,0,344579,0,0,0,0,0,0,0,0,0,412441,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:17:03,275,0,0,70424,304647,-1,14674693,22533,0,0,433505,86,0,394354,6,0,0,0,0,0,0,0,0,421285,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:17:33,661,0,0,70488,304632,-1,16170597,26817,0,0,467105,159,0,384543,0,0,0,0,0,0,0,0,0,469318,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:18:03,674,0,0,70694,304831,-1,16136285,15643,0,0,485802,98,0,419477,0,0,0,0,0,0,0,0,0,486275,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:18:33,678,0,0,70067,304631,-1,16231032,81018,0,0,477623,97,0,328736,0,0,0,0,0,0,0,0,0,509404,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:19:03,579,0,0,70433,304631,-1,16349061,21162,0,0,295310,122,0,229428,0,0,0,0,0,0,0,0,0,263984,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:19:33,490,0,0,70226,304583,-1,16088391,24526,0,0,323309,96,0,292671,0,0,0,0,0,0,0,0,0,321940,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:20:03,440,0,0,70513,304894,-1,16082970,20211,0,0,408238,126,0,365178,0,0,0,0,0,0,0,0,0,412783,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:20:33,441,0,0,70746,304587,-1,21054952,21369,0,0,227093,89,0,202342,0,0,0,0,0,0,0,0,0,225484,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:21:03,60,0,0,70499,304650,-1,15421399,20076,0,0,397085,595,0,332207,0,0,0,0,0,0,0,0,0,389587,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:21:33,652,0,0,70343,304632,-1,16117233,26314,0,0,282167,130,0,261186,0,0,0,0,0,0,0,0,0,307621,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:22:03,623,0,0,70931,304827,-1,15954007,22597,0,0,363473,94,0,346166,6,0,0,0,0,0,0,0,0,371040,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:22:33,740,0,0,70969,304631,-1,16003848,22508,0,0,291246,134,0,258140,0,0,0,0,0,0,0,0,0,291984,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:23:03,469,0,0,70590,304631,-1,16357391,20249,0,0,359899,101,0,351254,0,0,0,0,0,0,0,0,0,392416,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:23:33,318,0,0,70434,304632,-1,16193596,25260,0,0,314390,104,0,257700,0,0,0,0,0,0,0,0,0,274934,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20 08:24:03,277,0,0,71502,304854,-1,16002262,22085,0,0,341709,106,0,324555,0,0,0,0,0,0,0,0,0,356090,0,0,0,0,0,0,0,0,0,0,0,0,0
