CPU 74 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,98.1,1.9,0.0,0.0,0.0
2025-01-20 08:00:32,77.8,2.3,0.1,19.8,0.0
2025-01-20 08:01:02,44.7,1.3,0.1,53.9,0.0
2025-01-20 08:01:32,38.9,1.5,0.1,59.4,0.0
2025-01-20 08:02:02,51.6,2.3,0.2,45.9,0.0
2025-01-20 08:02:33,35.7,1.9,0.2,62.2,0.0
2025-01-20 08:03:03,34.6,2.9,0.4,62.2,0.0
2025-01-20 08:03:33,39.7,2.8,0.0,57.4,0.0
2025-01-20 08:04:03,54.6,2.3,0.3,42.9,0.0
2025-01-20 08:04:33,30.9,2.2,1.9,65.0,0.0
2025-01-20 08:05:03,18.3,2.1,0.5,79.1,0.0
2025-01-20 08:05:33,82.7,3.4,0.0,13.9,0.0
2025-01-20 08:06:03,32.3,2.4,0.4,64.9,0.0
2025-01-20 08:06:33,29.8,0.6,0.1,69.6,0.0
2025-01-20 08:07:03,33.0,1.4,0.2,65.4,0.0
2025-01-20 08:07:33,89.7,0.8,0.0,9.5,0.0
2025-01-20 08:08:03,31.6,0.8,0.1,67.5,0.0
2025-01-20 08:08:33,26.0,1.2,0.6,72.2,0.0
2025-01-20 08:09:03,14.2,0.7,0.4,84.7,0.0
2025-01-20 08:09:33,15.5,0.9,0.6,83.0,0.0
2025-01-20 08:10:03,24.8,1.0,0.3,73.9,0.0
2025-01-20 08:10:33,19.1,1.0,0.3,79.6,0.0
2025-01-20 08:11:03,27.9,0.7,0.2,71.2,0.0
2025-01-20 08:11:33,87.5,0.9,0.1,11.5,0.0
2025-01-20 08:12:03,41.7,0.9,0.1,57.3,0.0
2025-01-20 08:12:33,16.4,0.8,0.2,82.6,0.0
2025-01-20 08:13:03,23.6,1.7,0.3,74.5,0.0
2025-01-20 08:13:33,41.6,1.3,0.6,56.5,0.0
2025-01-20 08:14:03,27.8,1.9,0.3,70.1,0.0
2025-01-20 08:14:33,10.2,1.7,0.5,87.5,0.0
2025-01-20 08:15:03,35.8,3.1,0.3,60.8,0.0
2025-01-20 08:15:33,18.6,2.0,0.5,78.9,0.0
2025-01-20 08:16:03,17.2,2.3,0.7,79.9,0.0
2025-01-20 08:16:33,21.4,1.2,0.5,76.9,0.0
2025-01-20 08:17:03,18.4,0.9,0.4,80.3,0.0
2025-01-20 08:17:33,26.8,0.9,0.3,71.9,0.0
2025-01-20 08:18:03,35.5,1.0,0.2,63.4,0.0
2025-01-20 08:18:33,32.4,2.7,1.2,63.8,0.0
2025-01-20 08:19:03,19.6,1.1,0.3,79.0,0.0
2025-01-20 08:19:33,27.0,0.6,0.4,72.0,0.0
2025-01-20 08:20:03,11.4,1.0,0.5,87.1,0.0
2025-01-20 08:20:33,12.4,0.8,0.7,86.0,0.0
2025-01-20 08:21:03,11.7,0.7,0.4,87.2,0.0
2025-01-20 08:21:33,86.8,0.7,0.0,12.6,0.0
2025-01-20 08:22:03,26.9,0.8,0.3,72.0,0.0
2025-01-20 08:22:33,34.9,0.7,0.6,63.8,0.0
2025-01-20 08:23:03,29.7,0.8,0.4,69.1,0.0
2025-01-20 08:23:33,46.5,1.1,0.1,52.3,0.0
2025-01-20 08:24:03,21.9,0.7,0.2,77.2,0.0
2025-01-20 08:24:33,9.5,0.8,0.6,89.1,0.0
2025-01-20 08:25:03,40.3,0.7,0.5,58.5,0.0
2025-01-20 08:25:33,43.8,0.8,0.4,54.9,0.0
2025-01-20 08:26:03,19.1,1.4,0.4,79.0,0.0
2025-01-20 08:26:33,32.0,1.1,0.3,66.5,0.0
2025-01-20 08:27:03,16.4,1.3,0.5,81.8,0.0
2025-01-20 08:27:33,45.8,1.0,0.2,53.0,0.0
2025-01-20 08:28:03,30.0,0.8,0.3,68.8,0.0
2025-01-20 08:28:33,30.2,0.9,0.5,68.4,0.0
2025-01-20 08:29:03,18.9,1.1,0.2,79.8,0.0
2025-01-20 08:29:33,31.0,2.0,0.2,66.8,0.0
2025-01-20 08:30:03,39.1,0.8,0.2,60.0,0.0
2025-01-20 08:30:33,34.3,1.8,0.8,63.0,0.0
2025-01-20 08:31:03,30.8,1.1,0.5,67.7,0.0
2025-01-20 08:31:33,13.1,1.5,0.5,84.9,0.0
2025-01-20 08:32:02,26.4,1.5,1.0,71.1,0.0
2025-01-20 08:32:32,12.0,0.8,1.0,86.2,0.0
2025-01-20 08:33:02,46.5,1.2,0.3,51.9,0.0
2025-01-20 08:33:33,22.1,1.7,0.6,75.5,0.0
2025-01-20 08:34:03,24.0,3.4,0.4,72.2,0.0
2025-01-20 08:34:33,34.0,2.9,0.3,62.8,0.0
2025-01-20 08:35:03,22.2,2.4,0.6,74.8,0.0
2025-01-20 08:35:33,41.9,1.2,0.3,56.6,0.0
2025-01-20 08:36:03,54.1,1.1,0.1,44.7,0.0
2025-01-20 08:36:33,19.1,1.2,0.5,79.2,0.0
2025-01-20 08:37:03,39.0,3.2,0.3,57.6,0.0
2025-01-20 08:37:33,21.8,1.9,0.4,75.9,0.0
2025-01-20 08:38:03,43.7,0.8,0.2,55.3,0.0
2025-01-20 08:38:33,48.3,1.1,1.3,49.4,0.0
2025-01-20 08:39:03,24.9,0.8,0.3,73.9,0.0
2025-01-20 08:39:33,88.7,0.7,0.1,10.5,0.0
2025-01-20 08:40:03,56.5,1.0,0.1,42.4,0.0
