CPU 21 his02,User%,Sys%,Wait%,Idle%,Steal%
2025-01-20 08:00:02,2.0,0.0,0.0,98.0,0.0
2025-01-20 08:00:32,1.6,0.1,0.2,98.1,0.0
2025-01-20 08:01:02,1.6,0.1,0.0,98.2,0.0
2025-01-20 08:01:32,18.4,0.2,0.0,81.4,0.0
2025-01-20 08:02:02,2.8,0.3,0.1,96.8,0.0
2025-01-20 08:02:33,2.7,0.3,0.0,97.0,0.0
2025-01-20 08:03:03,15.5,0.3,0.1,84.1,0.0
2025-01-20 08:03:33,6.7,0.3,1.4,91.7,0.0
2025-01-20 08:04:03,22.9,0.2,0.4,76.5,0.0
2025-01-20 08:04:33,2.7,0.4,0.3,96.6,0.0
2025-01-20 08:05:03,3.3,0.5,0.9,95.3,0.0
2025-01-20 08:05:33,2.9,0.2,0.8,96.1,0.0
2025-01-20 08:06:03,5.1,0.4,0.6,93.9,0.0
2025-01-20 08:06:33,1.6,0.2,0.3,97.9,0.0
2025-01-20 08:07:03,3.8,0.6,0.9,94.7,0.0
2025-01-20 08:07:33,4.9,0.4,3.6,91.1,0.0
2025-01-20 08:08:03,1.3,0.3,1.0,97.3,0.0
2025-01-20 08:08:33,4.2,0.3,1.5,94.1,0.0
2025-01-20 08:09:03,1.3,0.2,0.4,98.0,0.0
2025-01-20 08:09:33,1.8,0.2,0.2,97.7,0.0
2025-01-20 08:10:03,7.9,0.1,0.0,91.9,0.0
2025-01-20 08:10:33,1.4,0.1,0.4,98.0,0.0
2025-01-20 08:11:03,2.4,0.2,0.2,97.1,0.0
2025-01-20 08:11:33,1.2,0.2,0.7,97.9,0.0
2025-01-20 08:12:03,1.9,0.4,1.9,95.7,0.0
2025-01-20 08:12:33,1.0,0.3,1.6,97.2,0.0
2025-01-20 08:13:03,1.4,0.3,0.0,98.4,0.0
2025-01-20 08:13:33,4.1,0.4,0.9,94.5,0.0
2025-01-20 08:14:03,1.5,0.3,0.6,97.6,0.0
2025-01-20 08:14:33,0.5,0.2,0.2,99.2,0.0
2025-01-20 08:15:03,0.8,0.2,0.5,98.5,0.0
2025-01-20 08:15:33,2.9,0.2,0.9,96.0,0.0
2025-01-20 08:16:03,0.6,0.2,0.2,99.0,0.0
2025-01-20 08:16:33,1.1,0.3,0.3,98.3,0.0
2025-01-20 08:17:03,4.3,0.2,0.7,94.8,0.0
2025-01-20 08:17:33,3.0,0.4,0.7,95.9,0.0
2025-01-20 08:18:03,3.1,0.1,0.1,96.7,0.0
2025-01-20 08:18:33,0.7,0.3,1.4,97.6,0.0
2025-01-20 08:19:03,2.9,0.2,0.4,96.5,0.0
2025-01-20 08:19:33,0.9,0.2,0.3,98.6,0.0
2025-01-20 08:20:03,5.9,0.6,0.5,92.9,0.0
2025-01-20 08:20:33,2.6,0.3,0.8,96.2,0.0
2025-01-20 08:21:03,3.3,0.2,0.8,95.7,0.0
2025-01-20 08:21:33,2.3,0.3,1.5,95.9,0.0
2025-01-20 08:22:03,6.0,0.3,0.7,93.0,0.0
2025-01-20 08:22:33,1.2,0.2,0.7,97.8,0.0
2025-01-20 08:23:03,1.8,0.2,0.5,97.5,0.0
2025-01-20 08:23:33,1.1,0.2,1.1,97.6,0.0
2025-01-20 08:24:03,4.2,0.3,1.0,94.5,0.0
2025-01-20 08:24:33,2.8,0.2,0.0,97.0,0.0
2025-01-20 08:25:03,3.7,0.3,0.4,95.6,0.0
2025-01-20 08:25:33,2.0,0.4,1.3,96.3,0.0
2025-01-20 08:26:03,13.5,0.4,1.3,84.8,0.0
2025-01-20 08:26:33,0.9,0.1,0.2,98.8,0.0
2025-01-20 08:27:03,6.5,0.6,0.3,92.6,0.0
2025-01-20 08:27:33,2.2,0.3,0.9,96.6,0.0
2025-01-20 08:28:03,4.1,0.4,2.7,92.8,0.0
2025-01-20 08:28:33,9.0,0.4,3.2,87.5,0.0
2025-01-20 08:29:03,10.9,0.4,2.2,86.4,0.0
2025-01-20 08:29:33,7.9,0.4,0.5,91.2,0.0
2025-01-20 08:30:03,2.0,0.2,0.6,97.2,0.0
